Year,Month,Longitude,Latitude,SST_Celsius,Population
2011.0,2.0,121.06004394,-67.32123581,13.9,447692
2014.0,5.0,-74.46774287,-59.27140306,6.3,2269
2017.0,6.0,137.73978136,36.64044305,21.8,37468302
2013.0,4.0,-56.4186,-66.1381,11.2,2269
2021.0,2.0,142.784853,17.795642,20.6,50568
2013.0,1.0,-41.03306099,-60.93911468,14.2,2269
2011.0,3.0,-169.14039887,-74.45738821,9.5,411346
2014.0,7.0,-142.688227453,-40.903271102,11.2,136005
2019.0,9.0,152.9368,60.6145,10.7,37468302
2013.0,10.0,96.0506808,-8.2336733,23.6,10516927
2020.0,9.0,-124.9047120433,-50.5574691924,8.2,136005
2017.0,5.0,-160.9513,-20.2442,21.0,13067
2018.0,7.0,15.7175,40.0458,20.5,4209710
2015.0,1.0,87.879547,60.380541,1.7,1068113
2015.0,8.0,109.78444782,76.94173613,10.9,1520381
2012.0,8.0,32.842639521,65.449541552,9.2,1279096
2017.0,7.0,98.21753393,13.03525616,27.6,10156316
2021.0,4.0,154.28075,62.81324,5.2,37468302
2021.0,7.0,129.29770609,2.46862695,32.0,11410
2021.0,1.0,54.484,34.638,14.3,8895947
2020.0,4.0,-138.5948,-0.0863,25.0,136005
2011.0,11.0,111.4465,-16.5557,24.9,10516927
2010.0,2.0,-132.6742916,-77.7181771,10.0,2269
2015.0,2.0,31.25644,48.59206,9.3,2956706
2012.0,3.0,-50.974516,-62.01165,13.9,2269
2016.0,11.0,-0.320537,-21.639248,22.4,603
2010.0,10.0,-61.0242940864,65.3085627096,9.5,18406
2011.0,9.0,-111.6237,-37.4142,12.4,6680371
2013.0,1.0,-134.2118536,-78.8564859,9.5,2269
2019.0,5.0,103.326876169,-21.185118125,23.7,10516927
2015.0,2.0,8.47308651,-73.81800927,12.0,2269
2016.0,4.0,57.5982,-43.092,17.1,147209
2017.0,10.0,-7.528,62.2539,9.4,20817
2014.0,7.0,-136.299429204,-56.700787428,6.4,411346
2016.0,2.0,112.9673,-20.7636,27.7,10516927
2020.0,7.0,79.4739089397,4.2646126058,30.3,599821
2018.0,4.0,-135.2549374,22.7465745,18.1,21580827
2019.0,1.0,-146.51565379,53.497594953,7.6,1363159
2017.0,12.0,163.67005,7.59594,25.6,6996
2018.0,11.0,-31.111437706,-89.436093747,8.0,2269
2021.0,7.0,-61.42103,74.77373,8.0,18406
2012.0,6.0,-80.175839,-17.891545,16.6,10390607
2017.0,7.0,-68.3946,-36.9185,12.4,6680371
2017.0,8.0,-167.588507,-34.919722,12.5,411346
2020.0,9.0,-28.924232677,-60.646830367,7.2,2269
2020.0,3.0,-155.6099,54.8526,7.0,37468302
2015.0,11.0,164.4275262,-82.9839157,9.0,411346
2010.0,8.0,168.5794945,26.3964342,26.2,30661
2021.0,2.0,-167.638821551,3.362068088,22.1,0
2017.0,5.0,-67.96780707,46.42962613,9.0,1363159
2010.0,6.0,-2.478801,-37.954705,15.6,4430367
2011.0,10.0,33.24286,2.72785,29.1,2986352
2012.0,11.0,8.41919,30.70765,16.7,1157746
2019.0,10.0,132.1868,21.2637,25.7,2705791
2019.0,4.0,-13.10703,-1.56205,30.4,1418300
2012.0,4.0,-7.86410686,42.836756644,11.1,6497124
2020.0,9.0,73.2356,77.9878,8.1,1279096
2010.0,5.0,130.2044,84.9142,4.5,216364
2015.0,11.0,55.3262706,-86.1406736,7.0,2269
2020.0,10.0,176.679047,-22.48506,21.4,178339
2017.0,8.0,155.243461781,38.973649558,23.8,37468302
2015.0,12.0,93.08232,-52.9933878,14.1,149365
2016.0,5.0,62.9941735059,67.4221963393,5.2,12409738
2020.0,6.0,-171.1277763,-6.70023881,22.9,0
2021.0,9.0,123.187603,-1.644191,25.9,281135
2015.0,2.0,149.8741886428,-29.5662612231,25.0,447692
2012.0,5.0,142.5959,89.2886,3.3,18406
2010.0,7.0,4.21161427,-26.31247674,17.7,404280
2020.0,5.0,-9.380236,-84.823884,8.0,2269
2020.0,8.0,-147.2015648545,19.9990426742,25.0,136005
2021.0,4.0,82.185506835,82.696985356,1.1,1279096
2019.0,6.0,11.49987,48.32674,16.6,5470
2013.0,4.0,41.413824,13.379505,22.1,561564
2020.0,4.0,69.20079,14.58742,21.5,176851
2011.0,11.0,76.1824094359,30.1833541828,19.0,28513682
2010.0,8.0,2.6452507936,89.8270328594,3.0,216364
2019.0,2.0,-21.294651,-1.08073866,32.0,1135949
2015.0,5.0,-140.45131741,23.52477203,19.8,21580827
2015.0,10.0,100.93771,69.38578,9.2,1520381
2011.0,4.0,178.9474322251,-0.6782200271,31.7,64011
2021.0,5.0,-5.1355,64.8988,6.5,20817
2015.0,6.0,-131.31601691,-82.78529381,4.0,2269
2020.0,8.0,-166.4343984953,64.5164080189,11.5,18406
2020.0,11.0,-36.2267756223,-87.6280015859,8.0,2269
2021.0,12.0,142.92383304,-56.46064754,15.2,447692
2018.0,3.0,-24.2295,20.3297,19.5,167504
2012.0,5.0,-38.016771325,-33.112931027,19.1,1736989
2014.0,5.0,171.533451,-26.094266,22.2,197787
2019.0,2.0,67.06095,-74.55634,11.0,4430367
2016.0,4.0,110.9854834,-23.2308544,25.1,10516927
2020.0,12.0,97.48854,40.05455,15.8,1520381
2013.0,1.0,105.669602,74.5592375,3.7,1520381
2012.0,4.0,-134.1709454356,-66.4508203023,9.2,411346
2015.0,1.0,64.362842608,-45.359410075,18.0,147209
2017.0,6.0,71.02548043,-87.37449751,5.0,2269
2014.0,7.0,5.185,-44.3915,12.3,4430367
2018.0,12.0,98.6482,39.9672,15.8,1520381
2020.0,4.0,157.3629943,52.19896091,17.8,37468302
2015.0,9.0,-159.0954246481,-74.1769161603,2.5,411346
2019.0,4.0,92.86494693,-36.12612376,19.2,10516927
2015.0,9.0,-178.7664848,-39.9278168,11.5,411346
2021.0,8.0,59.779561,-89.477831,3.0,2269
2013.0,7.0,160.26943,0.702605,32.0,6996
2013.0,7.0,-0.719342521,-1.1822087364,25.2,2439389
2013.0,4.0,137.119511,-82.313573,11.0,411346
2013.0,8.0,-81.2633456,-27.1457355,11.9,6680371
2019.0,7.0,29.815359,-15.405288,18.5,2523844
2019.0,11.0,141.06750272,46.9352752,19.8,37468302
2020.0,3.0,-29.212918,25.911712,17.7,167504
2016.0,10.0,100.5525,11.3429,28.7,10156316
2012.0,4.0,30.90816,-70.71347,9.0,4430367
2020.0,12.0,155.952041,-41.157594,19.7,447692
2010.0,6.0,-105.52013,-0.83918,24.7,21580827
2019.0,1.0,-118.7190991974,-12.3005533024,26.9,136005
2017.0,9.0,-88.5117,25.8773,23.3,2136468
2018.0,3.0,62.3133182,-87.8426895,10.5,2269
2015.0,4.0,-78.2366957287,-68.5658258214,5.3,2269
2016.0,8.0,111.973924482,65.8905054288,11.2,1520381
2010.0,12.0,-168.7451287,12.989816,21.1,30661
2014.0,8.0,168.331145,8.476887,31.6,30661
2018.0,6.0,123.671899154,30.266303219,23.0,2705791
2016.0,2.0,-168.029741,-63.5387909,11.8,411346
2020.0,10.0,39.6652219,-14.14205283,21.8,62351
2010.0,11.0,122.2620981,-41.53703848,17.4,447692
2011.0,8.0,-90.6627183,-20.1584843,17.0,10390607
2019.0,7.0,-132.5218538033,57.8760348569,13.1,1363159
2021.0,8.0,121.5331,-7.7846,23.6,281135
2021.0,2.0,-131.4940708605,-53.7504212743,14.8,411346
2012.0,1.0,-105.8732037142,-32.9119464749,20.6,6680371
2019.0,1.0,-3.48199,-80.77922,11.5,2269
2017.0,6.0,-144.350015,31.867741,19.4,21580827
2012.0,2.0,-86.78175,-9.63154,25.0,10390607
2014.0,1.0,61.2844545402,72.6712151331,1.7,1279096
2010.0,12.0,134.9501557,-58.6276002,14.3,447692
2014.0,2.0,57.8453383763,-85.6407828693,11.0,2269
2021.0,12.0,52.871807504,-22.410121544,23.4,147209
2017.0,8.0,-118.854357403,-45.168447422,9.5,136005
2017.0,2.0,-44.4555955,-10.070841,30.0,4469585
2017.0,8.0,160.22282779,-34.90178296,15.5,447692
2018.0,9.0,-23.29371535,-63.20995671,6.6,2269
2011.0,2.0,161.6114,-61.0514,15.7,411346
2017.0,3.0,23.1931518,-4.9277142,28.0,898968
2012.0,9.0,-22.379945772,88.600080888,5.8,216364
2016.0,7.0,-6.9138,-51.9319,9.9,4430367
2017.0,2.0,145.3985468,27.1117386,17.9,37468302
2012.0,8.0,-159.440293,-59.628277,5.0,411346
2011.0,3.0,-12.274021902,4.531121664,21.0,1418300
2021.0,6.0,77.2173381,49.7844919,19.8,1068113
2018.0,6.0,81.3525792,-28.4936657,17.6,149365
2021.0,1.0,-12.1561721983,1.821776423,21.9,1418300
2019.0,9.0,51.119419,-71.0763009,3.5,4430367
2011.0,11.0,-140.2244,-45.4866,13.5,136005
2010.0,12.0,154.2776,-76.6121,11.0,411346
2015.0,4.0,71.60055,-89.74453,9.0,2269
2021.0,4.0,-44.37759437,28.71853651,18.3,10073
2016.0,2.0,-6.31008866,-59.68289259,15.0,2269
2014.0,7.0,-22.598786,14.146564,28.3,167504
2020.0,6.0,119.84753607,31.40845258,22.7,2705791
2016.0,3.0,-82.16449,-79.06582,6.5,2269
2019.0,9.0,-163.59898606,-1.61374108,22.9,0
2019.0,10.0,-103.038402069,42.242153494,13.4,1363159
2018.0,11.0,130.23650265,-40.58853364,17.7,447692
2021.0,5.0,14.022,-88.68969,5.0,2269
2019.0,5.0,176.8566263498,50.474527727,19.8,37468302
2015.0,9.0,54.35256,12.25475,27.9,2779317
2018.0,2.0,-98.2192971048,67.1006715102,2.9,18406
2020.0,3.0,-77.4335,-71.432,6.5,2269
2016.0,1.0,-114.76026374,54.32545359,4.3,1363159
2019.0,1.0,-41.7516,-52.58437,16.6,2269
2012.0,5.0,-165.1876544377,-82.232286583,6.0,2269
2021.0,2.0,50.866,-88.1459,11.0,2269
2018.0,1.0,-57.72757,-44.8701,19.0,2269
2013.0,10.0,-122.47618916,-23.17523309,18.1,136005
2015.0,3.0,-151.280142748,13.029632152,19.6,0
2021.0,3.0,-42.238879,-76.525144,11.5,2269
2013.0,7.0,-146.7804413,37.6743776,19.1,21580827
2019.0,7.0,-18.92701,19.96979,23.5,1205414
2019.0,7.0,96.66960988,-76.06461901,3.5,447692
2017.0,2.0,-61.38539,82.80995,-1.9,18406
2020.0,2.0,-64.576004738,-27.432080306,22.9,3222199
2010.0,1.0,106.7835,-74.4757,12.5,447692
2021.0,10.0,28.632403,12.332186,26.4,5534079
2010.0,9.0,153.0139413,-88.4096366,5.5,2269
2016.0,11.0,94.3319479055,-11.419704561,24.7,10516927
2019.0,9.0,148.2950226089,-49.8594141899,11.5,447692
2021.0,9.0,-69.8362,46.9351,12.5,1363159
2021.0,3.0,-120.1799180767,71.9551839149,-1.1,18406
2017.0,11.0,134.069863518,-79.985070927,9.0,411346
2010.0,4.0,-129.30036,-15.41678,24.5,136005
2020.0,3.0,73.0813952057,57.6473267503,1.7,1068113
2018.0,7.0,-95.4718763,-77.00101,2.5,2269
2010.0,4.0,-167.498791,-2.981239,28.1,0
2018.0,5.0,-128.6999,-75.1998,6.0,2269
2012.0,8.0,-104.770501747,37.206781263,23.8,21580827
2013.0,1.0,-103.5716531,35.4685117,16.3,21580827
2011.0,7.0,-61.37478,-40.81581,11.2,14966530
2014.0,5.0,-145.25940321,-69.96819312,6.0,411346
2013.0,8.0,110.3779,76.1117,11.2,1520381
2010.0,7.0,18.11258,51.70068,17.5,1767798
2016.0,10.0,163.7515,23.3492,25.1,6996
2013.0,10.0,116.2778,-89.76487,7.0,2269
2020.0,10.0,25.0959,-41.2846,13.7,4430367
2017.0,9.0,-150.519734527,37.863408992,19.1,30661
2020.0,1.0,-117.69465409,27.35896381,12.4,21580827
2010.0,6.0,172.79842,67.94035,9.2,37468302
2019.0,6.0,-129.9677,36.0386,15.2,21580827
2012.0,4.0,8.0656,-61.6379,12.4,4430367
2018.0,5.0,-48.926359097,65.604885066,9.2,18406
2013.0,10.0,48.3003099,31.5344513,20.4,2989270
2017.0,3.0,-75.9778,64.0854,4.3,18406
2011.0,1.0,163.77528447,-28.95186288,24.8,197787
2015.0,8.0,-14.2186653,18.6524886,24.3,1205414
2019.0,3.0,29.95917858,30.06683895,15.5,20076002
2016.0,6.0,173.289148916,21.252649532,25.7,30661
2011.0,4.0,90.37223,16.44454,21.2,500218
2017.0,8.0,52.643371,34.974911,21.8,8895947
2014.0,11.0,-23.281308,-83.225944,8.0,2269
2012.0,6.0,-3.2073364,-79.65780361,6.0,2269
2013.0,5.0,-32.49302,-60.0872,11.0,2269
2010.0,2.0,113.4826191,84.7434637,0.5,216364
2010.0,11.0,109.05256,58.03353,7.2,1520381
2019.0,5.0,-106.78901984,0.02238591,27.0,21580827
2020.0,6.0,12.656623,18.503368,22.3,1322679
2011.0,3.0,44.80582,4.83284,23.0,2081624
2014.0,5.0,-58.4988379,-31.9892099,19.4,14966530
2017.0,10.0,173.510427,-84.505147,7.0,2269
2015.0,6.0,-93.792,-16.994,19.9,10390607
2015.0,3.0,78.750074303,73.164906091,1.7,1068113
2021.0,4.0,-159.6061216625,-5.8487836805,27.2,0
2010.0,1.0,170.41842,73.63799,3.7,1520381
2017.0,9.0,-20.793973167,18.856827845,26.8,1205414
2016.0,5.0,179.648217,-59.330214,12.3,411346
2018.0,3.0,165.2698,-27.2752,25.4,197787
2017.0,8.0,163.543,2.8666,32.0,11312
2010.0,11.0,-100.58903,16.0888,22.2,21580827
2021.0,2.0,-54.32969646,-61.80142317,14.4,2269
2013.0,3.0,108.55428467,34.82053895,16.3,19617963
2011.0,12.0,-58.70685,74.24119,4.8,18406
2015.0,3.0,63.80234,-84.899366,10.5,2269
2021.0,10.0,86.46539042,-61.17332573,7.7,147209
2021.0,12.0,-170.803793,42.630474,12.1,37468302
2014.0,3.0,-62.953278,43.465751,12.6,5723
2010.0,10.0,126.7130603,-4.6426315,26.5,281135
2020.0,8.0,-172.7452654,12.1262578,27.4,30661
2013.0,12.0,-175.143507188,-76.577158631,8.0,411346
2015.0,10.0,71.3332246829,-22.7754231146,19.1,149365
2016.0,10.0,-94.022774,63.165659,10.1,18406
2017.0,10.0,-59.586,77.9239,7.6,18406
2012.0,10.0,-165.3100573,-67.537282,4.6,411346
2015.0,2.0,-120.02325,2.678415,19.1,21580827
2010.0,6.0,-97.9665838339,-73.4879819791,4.0,2269
2014.0,3.0,85.850347,-10.926562,28.2,599821
2016.0,6.0,-56.9051613,69.7950627,10.0,18406
2019.0,1.0,40.743901185,29.630653094,15.5,2064582
2021.0,1.0,-142.6881613596,11.0823007759,20.2,136005
2020.0,12.0,-153.628093509,-17.8238884,23.6,136005
2015.0,4.0,-150.59667,-40.42806,17.0,13067
2014.0,8.0,-176.5624969,-76.6719664,2.0,411346
2020.0,11.0,117.6730045,-4.3925407,28.8,281135
2019.0,12.0,-77.7826,1.0359,24.7,1822397
2014.0,8.0,155.862730036,-5.465411672,24.5,81801
2012.0,5.0,-149.70183,35.28832,16.5,30661
2014.0,9.0,-13.6613841,-84.6541072,4.5,2269
2014.0,9.0,-75.772468263,3.083856693,29.6,10574409
2013.0,5.0,-55.5953456,41.3903383,16.7,5723
2011.0,9.0,-81.6719815,-46.2934311,6.7,6680371
2014.0,4.0,-59.3130075974,-21.1496619776,24.7,3222199
2020.0,4.0,36.37065,-7.22679,27.9,261645
2018.0,11.0,-71.39195,-43.69898,10.8,6680371
2016.0,3.0,-42.56894,20.3405,19.5,89201
2014.0,6.0,-60.5075,-7.3252,22.9,1814087
2020.0,11.0,126.49651335,8.54506205,27.3,11410
2010.0,9.0,-51.974106355,-42.181405004,12.9,1736989
2015.0,8.0,-85.488168,-68.0489735,-0.4,2269
2015.0,1.0,-129.0905,5.1577,19.0,136005
2019.0,8.0,-87.511750849,81.908283915,6.4,18406
2019.0,1.0,-83.3929933199,-48.3903898068,13.1,2269
2013.0,4.0,-178.68163,-5.951298,27.2,7042
2011.0,2.0,-172.5911182648,-27.7238008353,22.6,22904
2015.0,1.0,18.833528887,41.483113828,13.2,475577
2017.0,4.0,149.17351,-43.34877,19.1,447692
2017.0,5.0,91.57439832,-30.21245125,19.0,10516927
2020.0,10.0,32.64844638,19.16728701,24.3,5534079
2019.0,8.0,-135.398708395,-13.06690108,19.1,136005
2010.0,1.0,-69.1849,49.01716,5.5,1363159
2021.0,9.0,-4.409,67.8535,9.1,20817
2016.0,6.0,133.3063184,-81.4259728,7.0,411346
2016.0,2.0,-62.681699567,-65.038137798,11.5,2269
2011.0,1.0,131.4211708,82.04027376,1.9,1279096
2011.0,4.0,23.134223,-87.511737,9.0,2269
2013.0,3.0,-97.5242,-40.9415,18.2,6680371
2017.0,9.0,145.75782389,44.25405885,23.3,37468302
2017.0,10.0,103.3148,-77.4451,7.0,411346
2016.0,9.0,-90.68638864,22.375841023,23.9,22964
2012.0,6.0,78.405174,-44.6914022,12.5,149365
2019.0,11.0,71.16478596,52.677857457,17.8,1068113
2019.0,9.0,-125.8946466,-39.2582787,11.8,136005
2018.0,5.0,108.38735787,-89.82626476,9.0,2269
2016.0,6.0,0.386414,-37.343419,15.9,4430367
2014.0,4.0,-3.8762062576,7.3142418377,21.9,4920776
2019.0,11.0,-173.1344438972,72.8557416263,5.1,18406
2019.0,12.0,-5.674632998,50.286993855,9.0,34386
2016.0,12.0,13.8733,-15.7843,23.2,7774200
2016.0,6.0,-84.62556041,-34.88618628,11.5,6680371
2020.0,12.0,-42.9935622612,56.3253131494,10.2,18406
2013.0,7.0,171.682060372,69.115566878,10.7,1520381
2012.0,1.0,-38.90318,50.1285889,10.5,5723
2010.0,6.0,158.50633351,-30.42382427,19.0,447692
2012.0,6.0,-165.7851948,-85.0799292,4.0,2269
2012.0,5.0,140.8435794,-11.4715935,26.7,366862
2012.0,8.0,-158.729622835,35.262476411,20.5,30661
2010.0,10.0,2.1675,-45.2249,13.5,4430367
2021.0,1.0,-17.2879291,82.5372678,-2.0,216364
2012.0,6.0,38.1398,-4.2558,24.8,261645
2021.0,6.0,176.348374,-21.394273,21.7,178339
2020.0,7.0,-13.5271147,82.5853125,4.6,216364
2018.0,7.0,-31.5050365176,51.5224077589,16.9,216364
2012.0,10.0,163.8694983,68.1302282,9.2,1520381
2020.0,2.0,-20.3539475668,-31.1085487906,23.7,603
2013.0,6.0,-76.3348340752,-59.2589590913,4.3,2269
2021.0,4.0,-94.305435,-86.115497,8.0,2269
2014.0,7.0,-125.394544252,47.47418789,13.4,1363159
2012.0,6.0,-77.7859,-74.4137,1.0,2269
2013.0,8.0,122.87378,-1.05648,25.7,281135
2013.0,4.0,156.36305653,5.44984608,26.5,6996
2015.0,1.0,-39.7052929498,-46.6997398677,18.4,2269
2017.0,4.0,-77.8072,-33.2604,16.1,6680371
2011.0,8.0,-52.06236,40.55147,20.7,5723
2018.0,8.0,-83.80984722,-45.81844722,6.2,6680371
2011.0,7.0,-41.586958109,52.802369333,16.6,5723
2017.0,6.0,-28.1259762,-58.1596793,9.6,2269
2021.0,1.0,66.7509,50.1165,14.3,1068113
2012.0,8.0,19.956149376,-49.064988529,7.3,4430367
2010.0,1.0,30.5469,-7.08269,29.4,898968
2015.0,4.0,-81.95574725,62.00677528,6.4,18406
2019.0,12.0,110.46507,62.25533,5.2,1520381
2013.0,5.0,152.80272874,65.29683732,7.2,1520381
2019.0,1.0,-60.241835893,56.78354498,7.5,18406
2014.0,1.0,89.72039932,18.03456094,19.1,19578421
2014.0,7.0,110.497526267,18.223953769,28.1,632418
2017.0,9.0,-169.9824935,35.5839049,19.7,30661
2012.0,11.0,-2.98142037,8.95294711,23.3,2531381
2015.0,10.0,-178.2511,19.5312,23.0,30661
2010.0,3.0,51.27645137,26.656569041,16.4,564631
2019.0,11.0,110.5023672042,75.4405909075,7.2,1520381
2012.0,8.0,-160.22778,-13.1888,19.1,13067
2015.0,9.0,87.071109494,41.014211723,21.3,996319
2010.0,1.0,98.64896921,66.89114138,1.7,1520381
2015.0,7.0,-0.5634401,-84.4305768,4.5,2269
2012.0,2.0,105.62929,3.96147,24.8,5791901
2011.0,4.0,-23.536057,-71.8071843,10.0,2269
2013.0,9.0,-149.15751586,-22.34507391,16.9,136005
2013.0,2.0,-46.63120653,0.34565927,25.0,57506
2020.0,6.0,-62.5568184,31.4483261,21.8,10073
2021.0,2.0,-117.6265372961,58.0313362617,2.0,1363159
2013.0,5.0,-22.7646629,75.4209394,6.5,216364
2016.0,9.0,178.571895,-12.648174,22.6,7042
2015.0,6.0,-169.89182673,38.08161408,17.6,30661
2019.0,7.0,-112.744828,21.2015733,21.2,21580827
2015.0,4.0,-82.491682006,-5.629482602,24.2,1822397
2014.0,8.0,-172.12630855,80.73855665,6.7,18406
2021.0,8.0,-120.6656,20.8202,21.7,21580827
2018.0,9.0,-110.91161962,59.36119658,9.5,1363159
2017.0,5.0,-145.6817,-39.91825,15.0,13067
2017.0,8.0,64.52121922,9.16959495,29.3,176851
2011.0,9.0,-113.491,27.2668,20.3,21580827
2021.0,12.0,74.85569,-19.55104,24.0,149365
2011.0,2.0,32.23781,89.82763,-2.0,216364
2019.0,12.0,-163.630901078,60.449157805,7.0,37468302
2020.0,6.0,52.602670041,-84.265227594,5.0,2269
2021.0,10.0,44.401464759,-35.516039807,15.2,1101771
2011.0,5.0,-89.847029,63.619838,7.8,18406
2014.0,4.0,152.7949,-21.9934,25.4,197787
2017.0,8.0,62.3591,-24.8062,16.5,149365
2012.0,9.0,-147.015736854,-2.230443859,22.9,136005
2014.0,9.0,108.02052398,-83.151555886,5.5,2269
2013.0,6.0,-80.58092178,86.04303483,3.2,18406
2010.0,12.0,160.02651,41.6809201,17.8,37468302
2020.0,4.0,-144.375687,-78.732553,8.0,2269
2021.0,7.0,46.467587,-82.770838,3.5,2269
2014.0,4.0,45.7348416,23.693524,18.8,6906595
2013.0,3.0,-15.6918074,-67.3913696,12.4,2269
2016.0,5.0,34.98513,-74.319558,7.0,4430367
2015.0,12.0,-31.3042,-38.0599,19.6,1736989
2018.0,12.0,42.1674629,-82.4409603,9.0,2269
2020.0,6.0,107.63188,75.10955,9.2,1520381
2013.0,2.0,-133.24291182,-64.39086864,11.8,411346
2016.0,12.0,0.0651,-37.6328,19.6,4430367
2010.0,4.0,34.6603392,-29.7237394,21.0,1101771
2019.0,7.0,72.96526783,-66.96109779,4.4,4430367
2018.0,11.0,-155.49801,15.631772,22.2,0
2019.0,10.0,-94.041477486,-32.489001322,15.4,6680371
2015.0,5.0,-104.00182494,-36.886228,15.9,6680371
2014.0,8.0,-161.44296,13.9807,26.8,0
2013.0,2.0,-171.0333,16.9843,17.9,30661
2016.0,7.0,117.9420175,32.8660354,23.6,19617963
2021.0,7.0,-39.43524723,-80.34045043,4.5,2269
2017.0,9.0,-24.803558892,58.294476487,15.1,216364
2017.0,2.0,168.480103,-82.935382,13.0,411346
2019.0,11.0,154.8464429,-45.8602338,16.2,447692
2012.0,4.0,-30.45155521,-13.42193648,27.1,4469585
2016.0,3.0,71.84538,-67.11879,11.4,4430367
2010.0,2.0,-125.060531342,10.672650564,16.7,21580827
2012.0,4.0,82.573506,-47.428826,15.9,149365
2011.0,9.0,92.00135,64.4419,8.7,1068113
2014.0,5.0,-38.92296,-32.87783,19.1,1736989
2011.0,12.0,7.2586973707,-7.5390474595,28.6,7774200
